Title,Start,End,Mark,URL
Holiday,9/6/2021 8:00:00,9/6/2021 23:59:00,Info,
HW #1 Due ,9/10/2021 8:30:00,9/10/2021 8:31:00,Warning,
HW #2 Due ,9/20/2021 8:30:00,9/20/21 8:31:00,Warning,
HW #3 Due,9/27/2021 8:30:00,9/27/21 8:31:00,Warning,
HW #4 Due,10/4/2021 8:30:00,10/4/21 8:31:00,Warning,
Prog #1 Due ,10/15/2021 8:30:00,10/15/2021 8:31:59,Important,
Online QUIZ,10/16/2021 8:30:00,10/16/2021 8:31:00,Important,
Review MIDTERM,10/18/2021 8:30:00,10/18/21 8:31:00,Success,
MIDTERM,10/20/2021 8:30:00,10/20/21 8:31:00,Special,
HW #5 Due,10/29/2021 8:30:00,10/29/21 8:31:00,Warning,
Thanksgiving break,11/21/2021 8:00:00,11/27/2021 23:59:00,Info,
Online QUIZ,12/4/2021 0:00:00,12/4/2021 23:59:00,Important,
Review FINAL,12/8/2021 8:30:00,12/8/21 8:31 AM,Success,
Prog #2 Due,12/10/2021 23:59:00,12/10/2021 23:59:59,Important,
FINAL EXAM,12/15/2021 9:00:00,12/15/2021 10:50 AM,Special,
