Title,Start,End,Mark,URL
HW #1 Due (335-03),2/9/2016 16:00:00,2/9/16 16:01 PM,Warning,
Holiday,2/15/2016 8:00:00,2/15/2016 23:59:00,Info,
HW #2 Due (335-03),2/16/2016 16:00:00,2/16/16 16:01 PM,Warning,
Prog #1 Due (335-03),2/23/2016 16:00:00,2/23/16 16:01 PM,Important,
HW #3 Due (335-03),3/1/2016 16:00:00,3/1/16 16:01 PM,Warning,
HW #4 Due (335-03),3/8/2016 16:00:00,3/8/16 16:01 PM,Warning,
Prog #2 Due (335-03),3/15/2016 16:00:00,3/15/16 16:01 PM,Important,
Review MIDTERM (335-03),3/22/2016 16:00:00,3/22/16 17:15 PM,Success,
MIDTERM (335-03),3/24/2016 16:00:00,3/24/16 17:15 PM,Special,
Spring break,3/28/2016 8:00:00,4/1/2016 23:59:00,Info,
HW #5 Due (335-03),4/5/2016 16:00:00,4/5/16 16:01 PM,Warning,
HW #6 Due (335-03),4/12/2016 16:00:00,4/12/16 16:01 PM,Warning,
Prog #3 Due (335-03),4/19/2016 16:00:00,4/19/16 16:01 PM,Important,
HW #7 Due (335-03),4/26/2016 16:00:00,4/26/16 16:01 PM,Warning,
HW #8 Due (335-03),5/3/2016 16:00:00,5/3/16 16:01 PM,Warning,
Prog #4 Due (335-03),5/10/2016 16:00:00,5/10/16 16:01 PM,Important,
Review FINAL (335-03),5/12/2016 16:00:00,5/12/16 17:15 PM,Success,
FINAL EXAM (335-03),5/17/2016 17:00:00,5/17/2016 18:50:00,Special,
